id,budget,revenue,popularity,vote_average,release_year,if_novels
1951,14200000,674918,0.449064,6.9,2005,Not base on novel
27902,0,0,0.446519,5.0,2005,Not base on novel
11459,35000000,86369815,0.444301,5.8,2005,Not base on novel
9813,900000,381420,0.443094,5.6,2005,Not base on novel
11460,26000000,57891803,0.441927,6.1,2005,Not base on novel
11348,0,0,0.439824,5.8,2005,Not base on novel
9927,0,40442437,0.439013,5.5,2005,Not base on novel
20910,0,0,0.437792,4.5,2005,Base on novel
10008,0,0,0.429125,5.6,2005,Not base on novel
22473,0,0,0.426203,6.3,2005,Not base on novel
13994,0,2945242,0.425202,5.8,2005,Not base on novel
5471,0,92076,0.423386,6.0,2005,Not base on novel
340,7000000,2697930,0.42232,7.4,2005,Not base on novel
10258,0,0,0.41704,6.3,2005,Not base on novel
17113,1500000,712294,0.406323,6.4,2005,Not base on novel
13499,45000000,72028752,0.405822,5.7,2005,Not base on novel
14057,9000000,0,0.394709,4.6,2005,Not base on novel
17124,0,0,0.393751,5.7,2005,Not base on novel
13933,0,0,0.392879,7.1,2005,Not base on novel
9899,45000000,38058335,0.390848,5.9,2005,Not base on novel
14375,818418,4851244,0.387304,6.9,2005,Not base on novel
17035,0,0,0.37881,4.8,2005,Not base on novel
10476,8000000,22201636,0.37807,6.2,2005,Not base on novel
546,1000000,13350369,0.374704,6.5,2005,Not base on novel
10913,0,0,0.430394,5.5,2005,Not base on novel
1696,0,0,0.371866,6.6,2005,Not base on novel
12142,20000000,10442808,0.370396,3.5,2005,Not base on novel
8968,20000000,67192859,0.369596,4.5,2005,Not base on novel
1826,13000000,23727301,0.367248,6.7,2005,Not base on novel
15258,0,0,0.261343,5.8,2005,Not base on novel
11559,12000000,0,0.36373,6.0,2005,Not base on novel
27594,11000000,0,0.351378,5.8,2005,Not base on novel
17455,4000000,0,0.347958,4.6,2005,Not base on novel
